gap,method,half_policy,keep_fraction,side_bits,task_count,mean_psnr,min_psnr,p10_psnr,mean_ssim,p10_ssim,mean_ms_ssim,mean_lpips,p90_lpips,mean_payload_bytes,mean_side_mib_per_intermediate,mean_direct_total_mib_per_frame_ref,mean_delta_psnr_vs_original,mean_delta_ssim_vs_original,mean_delta_ms_ssim_vs_original,mean_delta_lpips_vs_original
4,original_streamsplat_base,full_original,0.0,0,30,22.321825581928188,14.094692782607366,18.184874443272292,0.6129658068219821,0.3722861886024475,0.8124688843886058,0.2974850902954737,0.4201940566301346,0.0,0.0,0.1819382207679131,0.0,0.0,0.0,0.0
4,streamsplat_half_anchor_entropy_residual,best_half_selector,0.2,4,30,23.12601552725586,16.014532858054576,18.975417098139083,0.6472388585408528,0.48666407167911535,0.8452189465363821,0.34819300174713136,0.4810439169406891,30771.2,0.029345703125,0.21128392389291312,0.8041899453276684,0.0342730517188708,0.03275006214777629,0.050707911451657615
4,streamsplat_half_anchor_entropy_residual,best_half_selector,0.2,6,30,23.4951408620828,16.143700302551128,19.084285021416164,0.6674873620271683,0.5242969274520874,0.8540168722470601,0.3260474289457003,0.4568026423454285,55507.433333333334,0.05293601353963216,0.23487423430754528,1.1733152801546152,0.05452155520518621,0.041547987858454385,0.028562338650226594
4,streamsplat_half_anchor_entropy_residual,best_half_selector,0.4,4,30,23.68432373587854,17.726253530074246,19.804220994278108,0.6616622388362885,0.5332358598709106,0.8578977207342784,0.3582463507850965,0.4560186505317688,52498.53333333333,0.050066502888997395,0.23200472365691052,1.3624981539503505,0.04869643201430639,0.04542883634567261,0.06076126048962275
4,streamsplat_half_anchor_entropy_residual,best_half_selector,0.4,6,30,24.442976571237114,18.15707031736704,20.090843062073677,0.7045552045106888,0.5803268551826477,0.8763429721196493,0.3155813624461492,0.4125119924545288,100859.3,0.0961869239807129,0.278125144748626,2.1211509893089224,0.09158939768870672,0.0638740877310435,0.018096272150675455
4,streamsplat_half_anchor_entropy_residual,best_half_selector,1.0,4,30,26.349792144483867,21.847820638133978,22.8917663351672,0.741420058409373,0.6205862879753112,0.9276902834574382,0.3199031114578247,0.41226924657821656,91178.66666666667,0.08695475260416667,0.2688929733720798,4.02796656255568,0.1284542515873909,0.1152213990688324,0.022418021162350973
4,streamsplat_half_anchor_entropy_residual,best_half_selector,1.0,6,30,29.88060850586717,24.708306541723843,26.06568680730128,0.8795753101507823,0.8259783327579499,0.9853506326675415,0.16458002875248592,0.2101434350013733,207591.66666666666,0.19797484079996744,0.3799130615678806,7.55878292393898,0.2666095033288002,0.17288174827893574,-0.1329050615429878
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.2,4,30,20.19294878818842,12.685509550203449,13.94872925862441,0.5677033503850301,0.39076397120952605,0.7439257989327113,0.434660412867864,0.5758574068546295,30355.033333333333,0.0289488156636556,0.21088703643156873,-2.128876793739765,-0.04526245643695195,-0.06854308545589446,0.13717532257239023
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.2,6,30,20.560404804967973,12.780483896650452,14.009206642855144,0.5999098519484202,0.4207548826932907,0.7573729674021403,0.40975760072469714,0.5664848506450653,55289.23333333333,0.052727921803792314,0.23466614257170543,-1.7614207769602133,-0.01305595487356186,-0.05509591698646545,0.11227251042922338
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.4,4,30,21.404445914997407,13.788869693111367,16.295184621383306,0.5890777756770452,0.4355102270841599,0.7897294292847316,0.4210788279771805,0.5154171109199523,51835.2,0.04943389892578125,0.23137211969369437,-0.9173796669307794,-0.02388803114493688,-0.022739455103874207,0.12359373768170674
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.4,6,30,22.19628239513668,14.226718688739092,16.671407961990955,0.6507485767205556,0.5042518466711045,0.8152942478656768,0.37299769471089045,0.48263761997222904,100828.43333333333,0.09615748723347982,0.27809570800139294,-0.12554318679150817,0.03778276989857356,0.002825363477071126,0.07551260441541671
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,1.0,4,30,25.113471983307683,18.42808539662481,21.56999258761401,0.687017481525739,0.5712280690670014,0.9028715590635935,0.3510261535644531,0.43088027536869056,94393.43333333333,0.0900205930074056,0.2719588137753187,2.791646401379501,0.07405167470375697,0.09040267467498779,0.05354106326897939
4,streamsplat_half_anchor_entropy_residual,fixed_left_half,1.0,6,30,29.402615462148212,24.671658460629494,25.68244538297623,0.8618551075458527,0.7897196769714355,0.9815093755722046,0.185494377464056,0.23631056845188148,211415.56666666668,0.20162159601847332,0.3835598167863864,7.080789880220027,0.24888930072387058,0.16904049118359885,-0.11199071283141772
4,streamsplat_half_anchor_entropy_residual,fixed_right_half,0.2,4,30,20.392879627437893,14.942453881880562,15.84967879801321,0.5675463378429413,0.412619948387146,0.7624722381432851,0.42713326613108316,0.551844185590744,30800.766666666666,0.029373900095621745,0.21131212086353485,-1.9289459544902932,-0.045419468979040784,-0.04999664624532064,0.12964817583560945
4,streamsplat_half_anchor_entropy_residual,fixed_right_half,0.2,6,30,20.68167259376154,15.053113296438132,16.1322312971536,0.5953179091215134,0.43044962584972385,0.7746296445528666,0.4027604321638743,0.5310613095760346,55663.1,0.05308446884155273,0.23502268960946585,-1.6401529881666437,-0.0176478977004687,-0.037839239835739134,0.10527534186840057
4,streamsplat_half_anchor_entropy_residual,fixed_right_half,0.4,4,30,21.58095782137248,16.90370689286295,17.725395032246464,0.5804810792207717,0.47170723378658297,0.7985551079114278,0.4244153365492821,0.5323304772377014,52664.3,0.050224590301513675,0.2321628110694268,-0.7408677605557117,-0.032484727601210274,-0.013913776477177937,0.12693024625380833
4,streamsplat_half_anchor_entropy_residual,fixed_right_half,0.4,6,30,22.27666551687117,17.75981555720538,18.490166085485196,0.6406591822703679,0.5376738846302033,0.8249789675076803,0.37741082658370334,0.48241505324840545,101814.66666666667,0.09709803263346355,0.27903625340137667,-0.045160065057017876,0.027693375448385873,0.012510083119074504,0.07992573628822962
4,streamsplat_half_anchor_entropy_residual,fixed_right_half,1.0,4,30,25.64155263062302,17.40311985886906,22.599940800662516,0.7037508815526963,0.5871498167514801,0.9117642402648926,0.3424584627151489,0.44886225163936616,95193.83333333333,0.09078391393025716,0.27272213469817025,3.3197270486948316,0.09078507473071416,0.09929535587628682,0.04497337241967519
4,streamsplat_half_anchor_entropy_residual,fixed_right_half,1.0,6,30,29.660264095288987,24.470008648146493,25.723517571729776,0.8703335543473562,0.8043131649494171,0.9839555303255717,0.17654799073934554,0.25180699229240416,214094.63333333333,0.2041765530904134,0.38611477385832654,7.3384385133608,0.2573677475253741,0.17148664593696594,-0.12093709955612818
8,original_streamsplat_base,full_original,0.0,0,30,20.52518071635703,12.472897671347383,15.471775583568856,0.5368488930165768,0.3541204065084458,0.7138387471437454,0.3582147777080536,0.5523827314376831,0.0,0.0,0.09762538675351437,0.0,0.0,0.0,0.0
8,streamsplat_half_anchor_entropy_residual,best_half_selector,0.2,4,30,21.967290205209515,14.811360566067318,17.640831164794346,0.5895821352799734,0.4164319694042206,0.7923507630825043,0.3850866675376892,0.5335955500602723,31984.466666666667,0.030502764383951823,0.12812815113746617,1.442109488852491,0.05273324226339658,0.07851201593875885,0.02687188982963562
8,streamsplat_half_anchor_entropy_residual,best_half_selector,0.2,6,30,22.314966788725908,14.932133744922103,17.61837219891259,0.6154689649740855,0.44537697434425355,0.8027991622686386,0.3681655635436376,0.5238261520862579,57261.6,0.054608917236328124,0.15223430398984247,1.7897860723688832,0.07862007195750872,0.0889604151248932,0.009950785835584005
8,streamsplat_half_anchor_entropy_residual,best_half_selector,0.4,4,30,22.668975686427164,17.578803462897955,18.836360901129915,0.6155856847763062,0.4630597591400146,0.8244340260823567,0.38726691355307896,0.4906358003616333,55182.9,0.052626514434814455,0.1502519011883288,2.1437949700701315,0.07873679175972939,0.11059527893861135,0.02905213584502538
8,streamsplat_half_anchor_entropy_residual,best_half_selector,0.4,6,30,23.34690707790096,18.001126372109884,18.917330571616613,0.6624216546614965,0.5402297675609589,0.8430567145347595,0.3498805552721024,0.4529101550579071,105098.33333333333,0.10022958119710286,0.19785496795061722,2.8217263615439316,0.1255727616449197,0.1292179673910141,-0.008334222435951232
8,streamsplat_half_anchor_entropy_residual,best_half_selector,1.0,4,30,25.882061006724747,20.49277668036811,22.64322847345763,0.7182322919368744,0.5906337559223175,0.9187563478946685,0.333795565366745,0.4300541549921036,96088.43333333333,0.0916370709737142,0.18926245772722852,5.356880290367715,0.18138339892029762,0.20491760075092316,-0.024419212341308595
8,streamsplat_half_anchor_entropy_residual,best_half_selector,1.0,6,30,29.54743990416001,24.68471859771818,25.535196358023246,0.8700549105803171,0.7998811662197113,0.9840767443180084,0.17757029533386232,0.23322499841451647,214067.13333333333,0.20415032704671224,0.30177571380022644,9.022259187802984,0.3332060175637404,0.270237997174263,-0.18064448237419128
8,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.2,4,30,18.822241727394037,12.601532794947037,14.60585979061972,0.49360122084617614,0.3351494550704956,0.6760127226511637,0.4845918208360672,0.6516945481300355,31373.833333333332,0.029920419057210285,0.12754580581072464,-1.7029389889629887,-0.04324767217040062,-0.037826024492581684,0.12637704312801362
8,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.2,6,30,19.161633696510446,12.677471265565396,14.797905111355727,0.5309677670399348,0.37665289342403413,0.6931570033232372,0.4613503749171893,0.6272003293037415,56796.23333333333,0.05416510899861653,0.15179049575213088,-1.3635470198465771,-0.005881125976641973,-0.02068174382050832,0.10313559720913569
8,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.4,4,30,20.23971952637894,14.066658482951844,16.195309833123197,0.5237746268510819,0.36812236309051516,0.7469031731287639,0.4605123569567998,0.5716906428337097,54610.7,0.052080821990966794,0.14970620874448112,-0.285461189978086,-0.01307426616549492,0.033064425985018416,0.10229757924874623
8,streamsplat_half_anchor_entropy_residual,fixed_left_half,0.4,6,30,20.975259530958667,14.60391067859453,16.69966345472208,0.5952893485625584,0.4741038590669632,0.7809081355730693,0.413842544456323,0.5212919354438782,105204.53333333334,0.10033086140950521,0.19795624816301954,0.45007881460163796,0.05844045554598173,0.06706938842932383,0.0556277667482694
8,streamsplat_half_anchor_entropy_residual,fixed_left_half,1.0,4,30,24.661423465588975,19.255803737687845,21.366084140894785,0.6572030037641525,0.5035767018795013,0.8878390312194824,0.3634845674037933,0.4439589381217957,99862.43333333333,0.09523623784383138,0.1928616245973457,4.136242749231944,0.12035411074757577,0.174000284075737,0.005269789695739746
8,streamsplat_half_anchor_entropy_residual,fixed_left_half,1.0,6,30,28.90820481768132,24.38741106683059,25.524841364595368,0.8445774594942729,0.7649980187416077,0.9785355031490326,0.20298869659503302,0.29658018648624423,221160.7,0.21091527938842775,0.308540666141942,8.383024101324288,0.3077285664776961,0.2646967560052872,-0.15522608111302058
8,streamsplat_half_anchor_entropy_residual,fixed_right_half,0.2,4,30,19.328298304270742,11.588091718440785,14.754058572591132,0.5203564936916033,0.37739006578922274,0.7064948886632919,0.46698355972766875,0.6079309284687042,31736.433333333334,0.030266221364339194,0.12789160811785355,-1.1968824120862844,-0.016492399324973425,-0.007343858480453491,0.10876878201961518
8,streamsplat_half_anchor_entropy_residual,fixed_right_half,0.2,6,30,19.66007658611854,11.830961584934826,14.968070455457703,0.5631089349587758,0.4079734206199646,0.7289671540260315,0.44143143743276597,0.5745633542537689,57183.566666666666,0.054534498850504556,0.15215988560401889,-0.865104130238484,0.02626004194219907,0.015128406882286071,0.08321665972471237
8,streamsplat_half_anchor_entropy_residual,fixed_right_half,0.4,4,30,20.46490313731042,13.349093863887983,17.309291325157627,0.5350561996301015,0.4120193958282471,0.7523991852998734,0.4549456352988879,0.5594902694225311,55426.166666666664,0.05285851160685221,0.15048389836036655,-0.060277579046610026,-0.0017926933864752452,0.03856043815612793,0.0967308575908343
8,streamsplat_half_anchor_entropy_residual,fixed_right_half,0.4,6,30,21.253202371082473,14.092354163891923,17.645982271651892,0.6153724620739619,0.49779047071933746,0.7957774380842845,0.4031044845779737,0.46984948515892033,105784.93333333333,0.1008843739827474,0.19850976073626173,0.7280216547254454,0.07852356905738513,0.08193869094053904,0.044889706869920096
8,streamsplat_half_anchor_entropy_residual,fixed_right_half,1.0,4,30,24.12235372889899,17.93007378557483,19.00941609793224,0.6378048181533813,0.4797402232885361,0.8710749745368958,0.3777166078488032,0.5052064597606659,100265.6,0.0956207275390625,0.19324611429257685,3.597173012541963,0.10095592513680458,0.15723622739315032,0.019501830140749615
8,streamsplat_half_anchor_entropy_residual,fixed_right_half,1.0,6,30,28.796993421517314,23.62175270390756,25.170511430066263,0.8469205876191457,0.7845798552036285,0.9788397550582886,0.20517611478765804,0.2666599690914154,220415.03333333333,0.21020415623982747,0.3078295429933417,8.27181270516029,0.31007169460256895,0.2650010079145432,-0.15303866292039553
