sequence,total_frames,base_gap,uniform_gap8_keyframes,uniform_gap4_keyframes,adaptive_keyframes,uniform_gap8_keyframe_count,uniform_gap4_keyframe_count,adaptive_keyframe_count,extra_keyframes_vs_gap8,uniform_gap8_keyframe_ratio,uniform_gap4_keyframe_ratio,adaptive_keyframe_ratio,metadata_bits,metadata_bytes,metadata_mib,selected_task_count,hard_task_count,selected_hard_count,high_payload_task_count,selected_high_payload_count,mean_selected_payload_bytes,mean_selected_psnr,mean_selected_lpips
bike-packing,69,8,0 8 16 24 32 40 48 56 64 68,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68,0 8 16 24 32 40 46 48 56 64 68,10,18,11,1,0.14492753623188406,0.2608695652173913,0.15942028985507245,85,11,1.0132789611816406e-05,1,3,1,0,0,211478.0,25.72814190108804,0.19889308512210846
blackswan,50,8,0 8 16 24 32 40 48 49,0 4 8 12 16 20 24 28 32 36 40 44 48 49,0 8 16 24 32 40 48 49,8,14,8,0,0.16,0.28,0.16,56,7,6.67572021484375e-06,0,0,0,4,0,,,
bmx-trees,80,8,0 8 16 24 32 40 48 56 64 72 79,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 79,0 8 16 24 31 32 35 40 48 56 64 72 79,11,21,13,2,0.1375,0.2625,0.1625,99,13,1.1801719665527344e-05,4,0,0,4,4,251154.75,30.94172637689924,0.11211622878909111
breakdance,84,8,0 8 16 24 32 40 48 56 64 72 80 83,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 83,0 8 16 24 32 40 48 56 64 72 80 83,12,22,12,0,0.14285714285714285,0.2619047619047619,0.14285714285714285,92,12,1.0967254638671875e-05,0,4,0,0,0,,,
camel,90,8,0 8 16 24 32 40 48 56 64 72 80 88 89,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 89,0 8 16 23 24 32 40 47 48 51 56 64 72 75 80 88 89,13,24,17,4,0.14444444444444443,0.26666666666666666,0.18888888888888888,127,16,1.5139579772949219e-05,4,3,3,4,4,232909.0,25.675201197466073,0.18893032521009445
car-roundabout,75,8,0 8 16 24 32 40 48 56 64 72 74,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 74,0 1 8 15 16 24 29 32 40 48 56 59 64 72 74,11,20,15,4,0.14666666666666667,0.26666666666666666,0.2,113,15,1.3470649719238281e-05,4,1,1,4,4,222313.0,27.16868262443458,0.14681605249643326
car-shadow,40,8,0 8 16 24 32 39,0 4 8 12 16 20 24 28 32 36 39,0 8 10 16 19 24 32 35 39,6,11,9,3,0.15,0.275,0.225,62,8,7.3909759521484375e-06,3,0,0,3,3,228310.66666666666,29.590868186721412,0.15192380547523499
cows,104,8,0 8 16 24 32 40 48 56 64 72 80 88 96 103,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 100 103,0 8 15 16 19 24 32 40 42 48 56 60 64 72 80 88 96 103,14,27,18,4,0.1346153846153846,0.25961538461538464,0.17307692307692307,134,17,1.5974044799804688e-05,4,4,4,2,2,220328.25,24.693157018228202,0.2097204402089119
dance-twirl,90,8,0 8 16 24 32 40 48 56 64 72 80 88 89,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 89,0 8 16 21 24 32 40 48 56 64 68 72 80 82 88 89,13,24,16,3,0.14444444444444443,0.26666666666666666,0.17777777777777778,120,15,1.430511474609375e-05,3,3,2,1,1,217466.66666666666,28.28392430124857,0.22008555134137472
dog,60,8,0 8 16 24 32 40 48 56 59,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 59,0 5 8 16 24 32 40 42 48 56 59,9,16,11,2,0.15,0.26666666666666666,0.18333333333333332,74,10,8.821487426757812e-06,2,0,0,4,2,241565.5,33.475070616109356,0.14558862149715424
dogs-jump,66,8,0 8 16 24 32 40 48 56 64 65,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 65,0 8 10 16 24 32 40 48 56 64 65,10,18,11,1,0.15151515151515152,0.2727272727272727,0.16666666666666666,85,11,1.0132789611816406e-05,1,1,0,0,0,155854.0,31.59162098659429,0.181843563914299
drift-chicane,52,8,0 8 16 24 32 40 48 51,0 4 8 12 16 20 24 28 32 36 40 44 48 51,0 6 8 16 24 32 35 40 48 51,8,14,10,2,0.15384615384615385,0.2692307692307692,0.19230769230769232,68,9,8.106231689453125e-06,2,0,0,0,0,116920.5,30.325403553152015,0.1763315424323082
drift-straight,50,8,0 8 16 24 32 40 48 49,0 4 8 12 16 20 24 28 32 36 40 44 48 49,0 2 8 9 16 19 24 32 37 40 48 49,8,14,12,4,0.16,0.28,0.24,80,10,9.5367431640625e-06,4,0,0,4,4,250429.25,30.937012450974223,0.12082485482096672
goat,90,8,0 8 16 24 32 40 48 56 64 72 80 88 89,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 89,0 3 8 16 24 32 40 46 48 56 64 72 75 78 80 88 89,13,24,17,4,0.14444444444444443,0.26666666666666666,0.18888888888888888,127,16,1.5139579772949219e-05,4,0,0,4,4,249461.75,26.935674105532392,0.17744988203048706
gold-fish,78,8,0 8 16 24 32 40 48 56 64 72 77,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 77,0 8 16 24 32 40 48 56 64 72 77,11,21,11,0,0.14102564102564102,0.2692307692307692,0.14102564102564102,85,11,1.0132789611816406e-05,0,0,0,0,0,,,
horsejump-high,50,8,0 8 16 24 32 40 48 49,0 4 8 12 16 20 24 28 32 36 40 44 48 49,0 8 15 16 20 24 32 40 48 49,8,14,10,2,0.16,0.28,0.2,68,9,8.106231689453125e-06,2,0,0,2,1,220016.5,27.816431395369538,0.1836489662528038
india,81,8,0 8 16 24 32 40 48 56 64 72 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 8 16 24 27 30 32 40 48 55 56 64 72 80,11,21,14,3,0.13580246913580246,0.25925925925925924,0.1728395061728395,106,14,1.2636184692382812e-05,3,2,2,3,3,228463.0,32.53986879559701,0.2075642297665278
judo,34,8,0 8 16 24 32 33,0 4 8 12 16 20 24 28 32 33,0 8 16 24 32 33,6,10,6,0,0.17647058823529413,0.29411764705882354,0.17647058823529413,44,6,5.245208740234375e-06,0,0,0,0,0,,,
kite-surf,50,8,0 8 16 24 32 40 48 49,0 4 8 12 16 20 24 28 32 36 40 44 48 49,0 2 6 8 16 24 32 40 48 49,8,14,10,2,0.16,0.28,0.2,68,9,8.106231689453125e-06,2,0,0,3,2,224779.0,32.35332219246572,0.09711398929357529
lab-coat,47,8,0 8 16 24 32 40 46,0 4 8 12 16 20 24 28 32 36 40 44 46,0 8 16 24 32 35 36 40 46,7,13,9,2,0.14893617021276595,0.2765957446808511,0.19148936170212766,62,8,7.3909759521484375e-06,2,0,0,3,2,251296.0,30.91260099927392,0.14973650872707367
libby,49,8,0 8 16 24 32 40 48,0 4 8 12 16 20 24 28 32 36 40 44 48,0 8 16 17 24 29 32 38 40 48,7,13,10,3,0.14285714285714285,0.2653061224489796,0.20408163265306123,68,9,8.106231689453125e-06,3,0,0,4,3,254965.66666666666,32.931700992478135,0.169136310617129
loading,50,8,0 8 16 24 32 40 48 49,0 4 8 12 16 20 24 28 32 36 40 44 48 49,0 8 13 16 24 32 35 38 40 48 49,8,14,11,3,0.16,0.28,0.22,74,10,8.821487426757812e-06,4,0,0,4,4,242921.25,28.755134316206963,0.14544741436839104
mbike-trick,79,8,0 8 16 24 32 40 48 56 64 72 78,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 78,0 8 16 24 32 40 48 56 64 72 78,11,21,11,0,0.13924050632911392,0.26582278481012656,0.13924050632911392,85,11,1.0132789611816406e-05,0,0,0,0,0,,,
motocross-jump,40,8,0 8 16 24 32 39,0 4 8 12 16 20 24 28 32 36 39,0 8 13 16 22 23 24 32 39,6,11,9,3,0.15,0.275,0.225,62,8,7.3909759521484375e-06,4,4,4,4,4,251558.5,31.590433189031344,0.29155246540904045
paragliding-launch,80,8,0 8 16 24 32 40 48 56 64 72 79,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 79,0 8 16 24 32 40 48 56 64 72 79,11,21,11,0,0.1375,0.2625,0.1375,85,11,1.0132789611816406e-05,0,0,0,1,0,,,
parkour,100,8,0 8 16 24 32 40 48 56 64 72 80 88 96 99,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 99,0 8 16 24 32 34 40 48 56 64 72 80 87 88 90 96 99,14,26,17,3,0.14,0.26,0.17,127,16,1.5139579772949219e-05,3,2,2,3,2,222650.33333333334,26.800528672390243,0.21230560541152954
pigs,79,8,0 8 16 24 32 40 48 56 64 72 78,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 78,0 8 16 24 32 40 48 56 64 72 78,11,21,11,0,0.13924050632911392,0.26582278481012656,0.13924050632911392,85,11,1.0132789611816406e-05,0,0,0,1,0,,,
scooter-black,43,8,0 8 16 24 32 40 42,0 4 8 12 16 20 24 28 32 36 40 42,0 4 8 10 16 24 27 32 37 40 42,7,12,11,4,0.16279069767441862,0.27906976744186046,0.2558139534883721,74,10,8.821487426757812e-06,4,2,2,3,3,233619.75,26.075227964495753,0.17188505455851555
shooting,40,8,0 8 16 24 32 39,0 4 8 12 16 20 24 28 32 36 39,0 7 8 9 12 16 19 24 32 39,6,11,10,4,0.15,0.275,0.25,68,9,8.106231689453125e-06,4,1,1,4,4,238604.75,34.484239258119594,0.1717270314693451
soapbox,99,8,0 8 16 24 32 40 48 56 64 72 80 88 96 98,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 98,0 8 16 24 32 40 48 49 56 61 64 72 78 80 88 96 98,14,26,17,3,0.1414141414141414,0.26262626262626265,0.1717171717171717,127,16,1.5139579772949219e-05,3,0,0,3,3,245494.33333333334,30.488672684968122,0.14834502587715784
