task_id,sequence,gap,left_index,target_index,right_index,normalized_time,stage165_selected_for_extra_keyframe,hard_quality_label,high_payload_label,stage158_psnr,stage158_lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,uniform_gap8_target_is_keyframe,stage165_adaptive_target_is_keyframe,uniform_gap4_target_is_keyframe,uniform_gap8_residual_payload_bytes,stage165_adaptive_residual_payload_bytes,uniform_gap4_residual_payload_bytes,stage165_adaptive_avoided_payload_bytes_vs_gap8,stage165_adaptive_false_negative_hard,stage165_adaptive_false_negative_high_payload
stage79_00022790,camel,4,48,51,52,0.75,1,1,1,25.53339946053153,0.18961508572101593,225503.0,0.2150564193725586,0.1819382207679131,0,1,0,225503.0,0.0,225503.0,225503.0,0,0
stage79_00030095,pigs,8,40,42,48,0.25,0,0,0,31.169624995073086,0.19384321570396423,200270.0,0.1909923553466797,0.09762538675351434,0,0,0,200270.0,200270.0,200270.0,0.0,0,0
stage79_00022382,breakdance,8,0,6,8,0.75,0,1,0,25.242663608239635,0.1973235011100769,142447.0,0.1358480453491211,0.09762538675351434,0,0,0,142447.0,142447.0,142447.0,0.0,1,0
stage79_00027470,kite-surf,4,28,29,32,0.25,0,0,1,32.33223984735168,0.10891885310411453,220263.0,0.21005916595458984,0.1819382207679131,0,0,0,220263.0,220263.0,220263.0,0.0,0,1
stage79_00024353,dance-twirl,4,64,66,68,0.5,0,1,0,26.122999794968553,0.2735501527786255,197156.0,0.18802261352539062,0.1819382207679131,0,0,0,197156.0,197156.0,197156.0,0.0,1,0
stage79_00021991,bmx-trees,8,32,35,40,0.375,1,0,1,28.771315232908698,0.13936297595500946,253702.0,0.24194908142089844,0.09762538675351434,0,1,0,253702.0,0.0,253702.0,253702.0,0,0
stage79_00030917,soapbox,4,76,78,80,0.5,1,0,1,30.961850197233606,0.14360126852989197,246995.0,0.23555278778076172,0.1819382207679131,0,1,0,246995.0,0.0,246995.0,246995.0,0,0
stage79_00027696,lab-coat,4,8,10,12,0.5,0,0,1,28.26420284277614,0.17963165044784546,225545.0,0.21509647369384766,0.1819382207679131,0,0,0,225545.0,225545.0,225545.0,0.0,0,1
stage79_00023944,cows,8,56,60,64,0.5,1,1,1,24.68471859771818,0.20881597697734833,231584.0,0.220855712890625,0.09762538675351434,0,1,1,231584.0,0.0,0.0,231584.0,0,0
stage79_00021281,bike-packing,4,0,1,4,0.25,0,0,0,26.104804335599894,0.20262430608272552,134579.0,0.12834453582763672,0.1819382207679131,0,0,0,134579.0,134579.0,134579.0,0.0,0,0
stage79_00028843,motocross-jump,8,16,22,24,0.75,1,1,1,32.51566190094791,0.24619509279727936,247999.0,0.2365102767944336,0.09762538675351434,0,1,0,247999.0,0.0,247999.0,247999.0,0,0
stage79_00025582,drift-straight,8,8,9,16,0.125,1,0,1,30.262937450018946,0.10939006507396698,236867.0,0.22589397430419922,0.09762538675351434,0,1,0,236867.0,0.0,236867.0,236867.0,0,0
stage79_00023826,cows,4,12,15,16,0.75,1,1,0,24.708306541723843,0.20466454327106476,208856.0,0.19918060302734375,0.1819382207679131,0,1,0,208856.0,0.0,208856.0,208856.0,0,0
stage79_00027754,lab-coat,8,32,36,40,0.5,1,0,1,30.554460600115835,0.157304584980011,252728.0,0.24102020263671875,0.09762538675351434,0,1,1,252728.0,0.0,0.0,252728.0,0,0
stage79_00030945,soapbox,8,8,15,16,0.875,0,0,0,29.513427599271918,0.19582943618297577,213191.0,0.20331478118896484,0.09762538675351434,0,0,0,213191.0,213191.0,213191.0,0.0,0,0
stage79_00026682,horsejump-high,8,16,20,24,0.5,1,0,1,27.513155614507667,0.207461416721344,226888.0,0.21637725830078125,0.09762538675351434,0,1,1,226888.0,0.0,0.0,226888.0,0,0
stage79_00029702,parkour,8,88,90,96,0.25,1,1,1,25.56769999688809,0.22302022576332092,223869.0,0.21349811553955078,0.09762538675351434,0,1,0,223869.0,0.0,223869.0,223869.0,0,0
stage79_00028222,loading,8,8,13,16,0.625,1,0,1,28.725972105343534,0.12928496301174164,249897.0,0.23832035064697266,0.09762538675351434,0,1,0,249897.0,0.0,249897.0,249897.0,0,0
stage79_00023234,car-roundabout,8,8,15,16,0.875,1,0,1,27.508126915916684,0.14075687527656555,221694.0,0.2114238739013672,0.09762538675351434,0,1,0,221694.0,0.0,221694.0,221694.0,0,0
stage79_00022838,camel,8,16,23,24,0.875,1,0,1,26.20396708007785,0.18039542436599731,231360.0,0.22064208984375,0.09762538675351434,0,1,0,231360.0,0.0,231360.0,231360.0,0,0
stage79_00024684,dog,4,4,6,8,0.5,0,0,1,31.48631829272292,0.15496239066123962,233064.0,0.22226715087890625,0.1819382207679131,0,0,0,233064.0,233064.0,233064.0,0.0,0,1
stage79_00027990,libby,8,24,29,32,0.625,1,0,1,32.1395477949241,0.20886823534965515,262762.0,0.25058937072753906,0.09762538675351434,0,1,0,262762.0,0.0,262762.0,262762.0,0,0
stage79_00026019,goat,8,72,75,80,0.375,1,0,1,26.625525413835764,0.17736747860908508,250527.0,0.2389211654663086,0.09762538675351434,0,1,0,250527.0,0.0,250527.0,250527.0,0,0
stage79_00027257,judo,4,16,18,20,0.5,0,0,0,30.011250481564495,0.2196235954761505,107700.0,0.10271072387695312,0.1819382207679131,0,0,0,107700.0,107700.0,107700.0,0.0,0,0
stage79_00023453,car-shadow,4,0,1,4,0.25,0,0,0,29.640121948929643,0.1503763496875763,207377.0,0.1977701187133789,0.1819382207679131,0,0,0,207377.0,207377.0,207377.0,0.0,0,0
stage79_00021603,blackswan,4,32,35,36,0.75,0,0,1,29.93624604505344,0.162162184715271,226344.0,0.21585845947265625,0.1819382207679131,0,0,0,226344.0,226344.0,226344.0,0.0,0,1
stage79_00030326,scooter-black,4,24,27,28,0.75,1,0,1,27.19165314212106,0.13937756419181824,244648.0,0.23331451416015625,0.1819382207679131,0,1,0,244648.0,0.0,244648.0,244648.0,0,0
stage79_00026351,gold-fish,4,52,55,56,0.75,0,0,0,33.303051185573665,0.07468410581350327,186524.0,0.17788314819335938,0.1819382207679131,0,0,0,186524.0,186524.0,186524.0,0.0,0,0
stage79_00030516,shooting,4,4,7,8,0.75,1,0,1,35.227434595209886,0.16433610022068024,238787.0,0.22772502899169922,0.1819382207679131,0,1,0,238787.0,0.0,238787.0,238787.0,0,0
stage79_00024429,dance-twirl,8,64,68,72,0.5,1,1,0,26.483361587273105,0.2708978056907654,212763.0,0.20290660858154297,0.09762538675351434,0,1,1,212763.0,0.0,0.0,212763.0,0,0
stage79_00021341,bike-packing,8,8,11,16,0.375,0,1,0,25.622482706829217,0.2319265902042389,180774.0,0.17239952087402344,0.09762538675351434,0,0,0,180774.0,180774.0,180774.0,0.0,1,0
stage79_00028530,mbike-trick,4,44,45,48,0.25,0,0,0,29.983283985772196,0.1928885579109192,153505.0,0.1463937759399414,0.1819382207679131,0,0,0,153505.0,153505.0,153505.0,0.0,0,0
stage79_00027043,india,8,24,30,32,0.75,1,1,1,32.04372980040284,0.24491067230701447,230255.0,0.2195882797241211,0.09762538675351434,0,1,0,230255.0,0.0,230255.0,230255.0,0,0
stage79_00029140,paragliding-launch,4,56,59,60,0.75,0,0,0,31.769360457442673,0.17319074273109436,216785.0,0.2067422866821289,0.1819382207679131,0,0,0,216785.0,216785.0,216785.0,0.0,0,0
stage79_00027486,kite-surf,8,0,2,8,0.25,1,0,1,32.841689286523504,0.0874297022819519,227373.0,0.21683979034423828,0.09762538675351434,0,1,0,227373.0,0.0,227373.0,227373.0,0,0
stage79_00024728,dog,8,0,5,8,0.625,1,0,1,32.84204481020986,0.15101756155490875,236667.0,0.22570323944091797,0.09762538675351434,0,1,0,236667.0,0.0,236667.0,236667.0,0,0
stage79_00027942,libby,4,16,18,20,0.5,0,0,1,32.7872643629876,0.17209970951080322,257925.0,0.24597644805908203,0.1819382207679131,0,0,0,257925.0,257925.0,257925.0,0.0,0,1
stage79_00025050,dogs-jump,8,8,10,16,0.25,1,0,0,31.59162098659429,0.181843563914299,155854.0,0.1486339569091797,0.09762538675351434,0,1,0,155854.0,0.0,155854.0,155854.0,0,0
stage79_00029217,paragliding-launch,8,64,71,72,0.875,0,0,0,31.91899274602159,0.18131586909294128,208781.0,0.19910907745361328,0.09762538675351434,0,0,0,208781.0,208781.0,208781.0,0.0,0,0
stage79_00021633,blackswan,8,16,23,24,0.875,0,0,1,30.283530221824208,0.15252235531806946,224272.0,0.2138824462890625,0.09762538675351434,0,0,0,224272.0,224272.0,224272.0,0.0,0,1
stage79_00030018,pigs,4,20,23,24,0.75,0,0,0,31.36043698642147,0.15658222138881683,172214.0,0.16423606872558594,0.1819382207679131,0,0,0,172214.0,172214.0,172214.0,0.0,0,0
stage79_00022333,breakdance,4,24,25,28,0.25,0,1,0,25.713629052613758,0.16875958442687988,121358.0,0.11573600769042969,0.1819382207679131,0,0,0,121358.0,121358.0,121358.0,0.0,1,0
stage79_00021925,bmx-trees,4,28,31,32,0.75,1,0,1,32.86590796679897,0.09377079457044601,243465.0,0.23218631744384766,0.1819382207679131,0,1,0,243465.0,0.0,243465.0,243465.0,0,0
stage79_00028560,mbike-trick,8,0,6,8,0.75,0,0,0,29.778761971140373,0.21018794178962708,182121.0,0.17368412017822266,0.09762538675351434,0,0,0,182121.0,182121.0,182121.0,0.0,0,0
stage79_00026368,gold-fish,8,0,2,8,0.25,0,0,0,33.516296096969164,0.07747763395309448,213123.0,0.20324993133544922,0.09762538675351434,0,0,0,213123.0,213123.0,213123.0,0.0,0,0
stage79_00030345,scooter-black,8,8,10,16,0.25,1,1,1,25.139113673960868,0.20580781996250153,223623.0,0.21326351165771484,0.09762538675351434,0,1,0,223623.0,0.0,223623.0,223623.0,0,0
stage79_00025302,drift-chicane,4,20,21,24,0.25,0,0,0,31.467856421335412,0.1780705749988556,149638.0,0.14270591735839844,0.1819382207679131,0,0,0,149638.0,149638.0,149638.0,0.0,0,0
stage79_00029575,parkour,4,32,34,36,0.5,1,0,1,29.05003457774736,0.20909008383750916,225453.0,0.21500873565673828,0.1819382207679131,0,1,0,225453.0,0.0,225453.0,225453.0,0,0
stage79_00030547,shooting,8,8,9,16,0.125,1,0,1,34.752288745339,0.12255455553531647,233898.0,0.22306251525878906,0.09762538675351434,0,1,0,233898.0,0.0,233898.0,233898.0,0,0
stage79_00028201,loading,4,32,35,36,0.75,1,0,1,29.126260892317024,0.1289375126361847,231286.0,0.22057151794433594,0.1819382207679131,0,1,0,231286.0,0.0,231286.0,231286.0,0,0
stage79_00026663,horsejump-high,4,44,46,48,0.5,0,0,1,27.626824875422624,0.15468835830688477,220517.0,0.21030139923095703,0.1819382207679131,0,0,0,220517.0,220517.0,220517.0,0.0,0,1
stage79_00023187,car-roundabout,4,28,29,32,0.25,1,0,1,27.663026726106743,0.14895430207252502,222153.0,0.21186161041259766,0.1819382207679131,0,1,0,222153.0,0.0,222153.0,222153.0,0,0
stage79_00025922,goat,4,44,46,48,0.5,1,0,1,27.28725091241753,0.1750091165304184,251693.0,0.24003314971923828,0.1819382207679131,0,1,0,251693.0,0.0,251693.0,251693.0,0,0
stage79_00025540,drift-straight,4,0,2,4,0.5,1,0,1,31.210591956485423,0.1128348708152771,253474.0,0.2417316436767578,0.1819382207679131,0,1,0,253474.0,0.0,253474.0,253474.0,0,0
stage79_00023512,car-shadow,8,32,35,39,0.42857142857142855,1,0,1,29.85347333277717,0.14318694174289703,235640.0,0.22472381591796875,0.09762538675351434,0,1,0,235640.0,0.0,235640.0,235640.0,0,0
stage79_00027283,judo,8,16,18,24,0.25,0,0,0,31.248461531777757,0.1791778951883316,106418.0,0.10148811340332031,0.09762538675351434,0,0,0,106418.0,106418.0,106418.0,0.0,0,0
stage79_00024994,dogs-jump,4,0,1,4,0.25,0,0,0,31.942406268838912,0.1399083137512207,150425.0,0.14345645904541016,0.1819382207679131,0,0,0,150425.0,150425.0,150425.0,0.0,0,0
stage79_00027011,india,4,72,73,76,0.25,0,0,0,33.077209537986654,0.09934594482183456,212824.0,0.20296478271484375,0.1819382207679131,0,0,0,212824.0,212824.0,212824.0,0.0,0,0
stage79_00025345,drift-chicane,8,16,23,24,0.875,0,0,0,31.50854472136949,0.17163248360157013,104667.0,0.09981822967529297,0.09762538675351434,0,0,0,104667.0,104667.0,104667.0,0.0,0,0
stage79_00028812,motocross-jump,4,20,23,24,0.75,1,1,1,32.663031483960296,0.265142023563385,241694.0,0.2304973602294922,0.1819382207679131,0,1,0,241694.0,0.0,241694.0,241694.0,0,0
stage79_00022787,camel,4,44,47,48,0.75,1,1,1,25.6279590122115,0.18633119761943817,230502.0,0.21982383728027344,0.1819382207679131,0,1,0,230502.0,0.0,230502.0,230502.0,0,0
stage79_00030097,pigs,8,40,44,48,0.5,0,0,1,32.36086746918035,0.17234298586845398,232006.0,0.22125816345214844,0.09762538675351434,0,0,1,232006.0,232006.0,0.0,0.0,0,1
stage79_00022430,breakdance,8,56,61,64,0.625,0,1,0,25.42756354330215,0.17937248945236206,155857.0,0.1486368179321289,0.09762538675351434,0,0,0,155857.0,155857.0,155857.0,0.0,1,0
stage79_00027472,kite-surf,4,28,31,32,0.75,0,0,0,32.172246610110015,0.10853549838066101,215418.0,0.20543861389160156,0.1819382207679131,0,0,0,215418.0,215418.0,215418.0,0.0,0,0
stage79_00024365,dance-twirl,4,80,82,84,0.5,1,1,0,27.389016543533767,0.2247844934463501,215387.0,0.20540904998779297,0.1819382207679131,0,1,0,215387.0,0.0,215387.0,215387.0,0,0
stage79_00021988,bmx-trees,8,24,31,32,0.875,1,0,1,32.928300295189196,0.09058301895856857,250631.0,0.23902034759521484,0.09762538675351434,0,1,0,250631.0,0.0,250631.0,250631.0,0,0
stage79_00030895,soapbox,4,48,49,52,0.25,1,0,1,30.851491404380763,0.10691956430673599,236226.0,0.2252826690673828,0.1819382207679131,0,1,0,236226.0,0.0,236226.0,236226.0,0,0
stage79_00027694,lab-coat,4,4,7,8,0.75,0,0,0,27.62454827465259,0.2015841156244278,218917.0,0.20877552032470703,0.1819382207679131,0,0,0,218917.0,218917.0,218917.0,0.0,0,0
stage79_00023928,cows,8,40,42,48,0.25,1,1,0,24.676416846228694,0.21696004271507263,215843.0,0.20584392547607422,0.09762538675351434,0,1,0,215843.0,0.0,215843.0,215843.0,0,0
stage79_00021315,bike-packing,4,44,46,48,0.5,1,1,0,25.72814190108804,0.19889308512210846,211478.0,0.20168113708496094,0.1819382207679131,0,1,0,211478.0,0.0,211478.0,211478.0,0,0
stage79_00028835,motocross-jump,8,8,13,16,0.625,1,1,1,31.063829825022648,0.3191358745098114,263358.0,0.2511577606201172,0.09762538675351434,0,1,0,263358.0,0.0,263358.0,263358.0,0,0
stage79_00025591,drift-straight,8,16,19,24,0.375,1,0,1,30.242848185595204,0.11668480932712555,260238.0,0.2481822967529297,0.09762538675351434,0,1,0,260238.0,0.0,260238.0,260238.0,0,0
stage79_00023829,cows,4,16,19,20,0.75,1,1,1,24.70318608724209,0.20844119787216187,225030.0,0.21460533142089844,0.1819382207679131,0,1,0,225030.0,0.0,225030.0,225030.0,0,0
stage79_00027753,lab-coat,8,32,35,40,0.375,1,0,1,31.270741398432,0.14216843247413635,249864.0,0.23828887939453125,0.09762538675351434,0,1,0,249864.0,0.0,249864.0,249864.0,0,0
stage79_00030985,soapbox,8,56,61,64,0.625,1,0,1,29.652676453289992,0.19451424479484558,253262.0,0.2415294647216797,0.09762538675351434,0,1,0,253262.0,0.0,253262.0,253262.0,0,0
stage79_00026678,horsejump-high,8,8,15,16,0.875,1,0,0,28.119707176231408,0.1598365157842636,213145.0,0.20327091217041016,0.09762538675351434,0,1,0,213145.0,0.0,213145.0,213145.0,0,0
stage79_00029700,parkour,8,80,87,88,0.875,1,1,0,25.783851442535276,0.20480650663375854,218629.0,0.20850086212158203,0.09762538675351434,0,1,0,218629.0,0.0,218629.0,218629.0,0,0
stage79_00028241,loading,8,32,35,40,0.375,1,0,1,28.600659158818136,0.16854679584503174,247580.0,0.23611068725585938,0.09762538675351434,0,1,0,247580.0,0.0,247580.0,247580.0,0,0
stage79_00023221,car-roundabout,8,0,1,8,0.125,1,0,1,27.51871864418962,0.14457689225673676,220792.0,0.21056365966796875,0.09762538675351434,0,1,0,220792.0,0.0,220792.0,220792.0,0,0
stage79_00022883,camel,8,72,75,80,0.375,1,1,1,25.335479237043415,0.1993795931339264,244271.0,0.2329549789428711,0.09762538675351434,0,1,0,244271.0,0.0,244271.0,244271.0,0,0
stage79_00024692,dog,4,16,17,20,0.25,0,0,1,30.263989567847865,0.1706315129995346,234218.0,0.22336769104003906,0.1819382207679131,0,0,0,234218.0,234218.0,234218.0,0.0,0,1
stage79_00027979,libby,8,16,17,24,0.125,1,0,1,33.64559264444898,0.1312885582447052,245135.0,0.2337789535522461,0.09762538675351434,0,1,0,245135.0,0.0,245135.0,245135.0,0,0
stage79_00026022,goat,8,72,78,80,0.75,1,0,1,26.541360057367047,0.18188631534576416,244302.0,0.2329845428466797,0.09762538675351434,0,1,0,244302.0,0.0,244302.0,244302.0,0,0
stage79_00027251,judo,4,8,10,12,0.5,0,0,0,31.38632279877512,0.16049990057945251,113232.0,0.1079864501953125,0.1819382207679131,0,0,0,113232.0,113232.0,113232.0,0.0,0,0
stage79_00023460,car-shadow,4,8,10,12,0.5,1,0,1,29.405388121541595,0.1530119925737381,220697.0,0.21047306060791016,0.1819382207679131,0,1,0,220697.0,0.0,220697.0,220697.0,0,0
stage79_00021592,blackswan,4,20,21,24,0.25,0,0,1,29.993041439257844,0.1594529002904892,224833.0,0.2144174575805664,0.1819382207679131,0,0,0,224833.0,224833.0,224833.0,0.0,0,1
stage79_00030333,scooter-black,4,36,37,40,0.25,1,0,1,27.48157589409837,0.1386011242866516,247692.0,0.23621749877929688,0.1819382207679131,0,1,0,247692.0,0.0,247692.0,247692.0,0,0
stage79_00026362,gold-fish,4,68,70,72,0.5,0,0,0,33.52168948008948,0.08349402248859406,195876.0,0.18680191040039062,0.1819382207679131,0,0,0,195876.0,195876.0,195876.0,0.0,0,0
stage79_00030525,shooting,4,16,19,20,0.75,1,0,1,35.31447864697665,0.1123308539390564,231959.0,0.22121334075927734,0.1819382207679131,0,1,0,231959.0,0.0,231959.0,231959.0,0,0
stage79_00024388,dance-twirl,8,16,21,24,0.625,1,0,1,30.979394772938843,0.16457435488700867,224250.0,0.21386146545410156,0.09762538675351434,0,1,0,224250.0,0.0,224250.0,224250.0,0,0
stage79_00021354,bike-packing,8,24,26,32,0.25,0,1,0,25.04849410359389,0.19343437254428864,159176.0,0.15180206298828125,0.09762538675351434,0,0,0,159176.0,159176.0,159176.0,0.0,1,0
stage79_00028529,mbike-trick,4,40,43,44,0.75,0,0,0,30.18331448094411,0.21612654626369476,162586.0,0.15505409240722656,0.1819382207679131,0,0,0,162586.0,162586.0,162586.0,0.0,0,0
stage79_00027040,india,8,24,27,32,0.375,1,1,1,31.727685844595296,0.23860138654708862,233735.0,0.22290706634521484,0.09762538675351434,0,1,0,233735.0,0.0,233735.0,233735.0,0,0
stage79_00029146,paragliding-launch,4,64,67,68,0.75,0,0,0,31.972203005555308,0.1762653887271881,209150.0,0.1994609832763672,0.1819382207679131,0,0,0,209150.0,209150.0,209150.0,0.0,0,0
stage79_00027490,kite-surf,8,0,6,8,0.75,1,0,1,31.864955098407933,0.10679827630519867,222185.0,0.21189212799072266,0.09762538675351434,0,1,0,222185.0,0.0,222185.0,222185.0,0,0
stage79_00024760,dog,8,40,42,48,0.25,1,0,1,34.10809642200885,0.14015968143939972,246464.0,0.23504638671875,0.09762538675351434,0,1,0,246464.0,0.0,246464.0,246464.0,0,0
stage79_00027957,libby,4,36,38,40,0.5,1,0,1,33.00996253806132,0.16725213825702667,257000.0,0.24509429931640625,0.1819382207679131,0,1,0,257000.0,0.0,257000.0,257000.0,0,0
stage79_00025059,dogs-jump,8,16,20,24,0.5,0,1,0,30.57019814002359,0.2771647870540619,167862.0,0.16008567810058594,0.09762538675351434,0,0,1,167862.0,167862.0,0.0,0.0,1,0
stage79_00029170,paragliding-launch,8,16,18,24,0.25,0,0,1,29.26343582576235,0.200591042637825,222111.0,0.2118215560913086,0.09762538675351434,0,0,0,222111.0,222111.0,222111.0,0.0,0,1
stage79_00021621,blackswan,8,8,10,16,0.25,0,0,1,29.820765753596852,0.1637483835220337,238863.0,0.2277975082397461,0.09762538675351434,0,0,0,238863.0,238863.0,238863.0,0.0,0,1
stage79_00030010,pigs,4,12,13,16,0.25,0,0,0,32.04078010586536,0.14738035202026367,185807.0,0.1771993637084961,0.1819382207679131,0,0,0,185807.0,185807.0,185807.0,0.0,0,0
stage79_00022356,breakdance,4,52,55,56,0.75,0,1,0,25.543566837921947,0.17139467597007751,126100.0,0.12025833129882812,0.1819382207679131,0,0,0,126100.0,126100.0,126100.0,0.0,1,0
stage79_00021928,bmx-trees,4,32,35,36,0.75,1,0,1,29.201382012700087,0.1247481256723404,256821.0,0.24492359161376953,0.1819382207679131,0,1,0,256821.0,0.0,256821.0,256821.0,0,0
stage79_00028557,mbike-trick,8,0,3,8,0.375,0,0,0,29.827810910218457,0.21969108283519745,192946.0,0.1840076446533203,0.09762538675351434,0,0,0,192946.0,192946.0,192946.0,0.0,0,0
stage79_00026409,gold-fish,8,48,49,56,0.125,0,0,0,33.37035851948761,0.07448727637529373,184199.0,0.17566585540771484,0.09762538675351434,0,0,0,184199.0,184199.0,184199.0,0.0,0,0
stage79_00030340,scooter-black,8,0,4,8,0.5,1,1,0,24.4885691478027,0.20375370979309082,218516.0,0.20839309692382812,0.09762538675351434,0,1,1,218516.0,0.0,0.0,218516.0,0,0
stage79_00025313,drift-chicane,4,32,35,36,0.75,1,0,0,30.389364799075622,0.17147435247898102,108987.0,0.10393810272216797,0.1819382207679131,0,1,0,108987.0,0.0,108987.0,108987.0,0,0
stage79_00029561,parkour,4,12,15,16,0.75,0,0,1,29.319853135921633,0.1671568751335144,223015.0,0.21268367767333984,0.1819382207679131,0,0,0,223015.0,223015.0,223015.0,0.0,0,1
stage79_00030550,shooting,8,8,12,16,0.5,1,1,1,32.64275504495283,0.28768661618232727,249775.0,0.2382040023803711,0.09762538675351434,0,1,1,249775.0,0.0,0.0,249775.0,0,0
stage79_00028203,loading,4,36,38,40,0.5,1,0,1,28.567645108349154,0.15502038598060608,242922.0,0.23166847229003906,0.1819382207679131,0,1,0,242922.0,0.0,242922.0,242922.0,0,0
stage79_00026641,horsejump-high,4,16,17,20,0.25,0,0,0,27.987254418074862,0.16101130843162537,200519.0,0.19122982025146484,0.1819382207679131,0,0,0,200519.0,200519.0,200519.0,0.0,0,0
stage79_00023210,car-roundabout,4,56,59,60,0.75,1,1,1,25.98485821152527,0.1529761403799057,224613.0,0.21420764923095703,0.1819382207679131,0,1,0,224613.0,0.0,224613.0,224613.0,0,0
stage79_00025890,goat,4,0,3,4,0.75,1,0,1,27.28856003850924,0.1755366176366806,251325.0,0.23968219757080078,0.1819382207679131,0,1,0,251325.0,0.0,251325.0,251325.0,0,0
stage79_00025566,drift-straight,4,36,37,40,0.25,1,0,1,32.031672211797314,0.14438967406749725,251138.0,0.2395038604736328,0.1819382207679131,0,1,0,251138.0,0.0,251138.0,251138.0,0,0
stage79_00023498,car-shadow,8,16,19,24,0.375,1,0,1,29.513743105845474,0.15957248210906982,228595.0,0.21800518035888672,0.09762538675351434,0,1,0,228595.0,0.0,228595.0,228595.0,0,0
stage79_00027276,judo,8,8,10,16,0.25,0,0,0,31.641427055974383,0.15146984159946442,107615.0,0.1026296615600586,0.09762538675351434,0,0,0,107615.0,107615.0,107615.0,0.0,0,0
stage79_00025006,dogs-jump,4,16,17,20,0.25,0,0,0,31.45997573412123,0.2046082317829132,139790.0,0.1333141326904297,0.1819382207679131,0,0,0,139790.0,139790.0,139790.0,0.0,0,0
stage79_00026998,india,4,52,55,56,0.75,1,0,1,33.84819074179289,0.13918063044548035,221399.0,0.21114253997802734,0.1819382207679131,0,1,0,221399.0,0.0,221399.0,221399.0,0,0
stage79_00025330,drift-chicane,8,0,6,8,0.75,1,0,0,30.261442307228403,0.18118873238563538,124854.0,0.11907005310058594,0.09762538675351434,0,1,0,124854.0,0.0,124854.0,124854.0,0,0
stage79_00028811,motocross-jump,4,20,22,24,0.5,1,1,1,30.119209546194526,0.33573687076568604,253183.0,0.2414541244506836,0.1819382207679131,0,1,0,253183.0,0.0,253183.0,253183.0,0,0
