cell_id,sequence,left_index,right_index,extra_keyframes,extra_keyframe_count,max_selector_score,mean_selector_score,max_vote_count,hard_label_count,high_payload_label_count,mean_payload_bytes,mean_stage158_psnr,mean_stage158_lpips,rank_index
drift-straight:00016:00024,drift-straight,16,24,19,1,5.9714285714285715,5.9714285714285715,5.0,0,1,260238.0,30.242848185595204,0.11668480932712555,1
scooter-black:00032:00040,scooter-black,32,40,37,1,5.942857142857143,5.942857142857143,5.0,0,1,247692.0,27.48157589409837,0.1386011242866516,2
scooter-black:00024:00032,scooter-black,24,32,27,1,5.936134453781513,5.936134453781513,5.0,0,1,244648.0,27.19165314212106,0.13937756419181824,3
drift-straight:00032:00040,drift-straight,32,40,37,1,5.907563025210084,5.907563025210084,5.0,0,1,251138.0,32.031672211797314,0.14438967406749725,4
loading:00032:00040,loading,32,40,35 38,2,5.904201680672269,5.863025210084034,5.0,0,2,245251.0,28.584152133583643,0.1617835909128189,5
loading:00008:00016,loading,8,16,13,1,5.892436974789916,5.892436974789916,5.0,0,1,249897.0,28.725972105343534,0.12928496301174164,6
scooter-black:00008:00016,scooter-black,8,16,10,1,5.882352941176471,5.882352941176471,5.0,1,1,223623.0,25.139113673960868,0.20580781996250153,7
drift-straight:00008:00016,drift-straight,8,16,9,1,5.872268907563026,5.872268907563026,5.0,0,1,236867.0,30.262937450018946,0.10939006507396698,8
soapbox:00056:00064,soapbox,56,64,61,1,5.826890756302521,5.826890756302521,5.0,0,1,253262.0,29.652676453289992,0.19451424479484558,9
lab-coat:00032:00040,lab-coat,32,40,35 36,2,5.796638655462185,5.791596638655462,5.0,0,2,251296.0,30.91260099927392,0.14973650872707367,10
car-roundabout:00000:00008,car-roundabout,0,8,1,1,5.754621848739496,5.754621848739496,5.0,0,1,220792.0,27.51871864418962,0.14457689225673676,11
soapbox:00072:00080,soapbox,72,80,78,1,5.7478991596638656,5.7478991596638656,5.0,0,1,246995.0,30.961850197233606,0.14360126852989197,12
motocross-jump:00016:00024,motocross-jump,16,24,22 23,2,4.904201680672269,4.9,4.0,2,2,247438.5,31.39112051507741,0.3004394471645355,13
shooting:00008:00016,shooting,8,16,9 12,2,4.885714285714285,4.868067226890756,4.0,1,2,241836.5,33.69752189514591,0.20512058585882187,14
drift-straight:00000:00008,drift-straight,0,8,2,1,4.862184873949579,4.862184873949579,4.0,0,1,253474.0,31.210591956485423,0.1128348708152771,15
shooting:00016:00024,shooting,16,24,19,1,4.810084033613445,4.810084033613445,4.0,0,1,231959.0,35.31447864697665,0.1123308539390564,16
motocross-jump:00008:00016,motocross-jump,8,16,13,1,4.776470588235294,4.776470588235294,4.0,1,1,263358.0,31.063829825022648,0.3191358745098114,17
bmx-trees:00032:00040,bmx-trees,32,40,35,1,4.764705882352941,4.764705882352941,4.0,0,1,256821.0,29.201382012700087,0.1247481256723404,18
car-roundabout:00056:00064,car-roundabout,56,64,59,1,4.761344537815126,4.761344537815126,4.0,1,1,224613.0,25.98485821152527,0.1529761403799057,19
india:00024:00032,india,24,32,27 30,2,4.73781512605042,4.731932773109244,4.0,2,2,231995.0,31.88570782249907,0.24175602942705154,20
goat:00000:00008,goat,0,8,3,1,4.734453781512605,4.734453781512605,4.0,0,1,251325.0,27.28856003850924,0.1755366176366806,21
dance-twirl:00016:00024,dance-twirl,16,24,21,1,4.7176470588235295,4.7176470588235295,4.0,0,1,224250.0,30.979394772938843,0.16457435488700867,22
parkour:00088:00096,parkour,88,96,90,1,4.709243697478992,4.709243697478992,4.0,1,1,223869.0,25.56769999688809,0.22302022576332092,23
shooting:00000:00008,shooting,0,8,7,1,4.705882352941177,4.705882352941177,4.0,0,1,238787.0,35.227434595209886,0.16433610022068024,24
soapbox:00048:00056,soapbox,48,56,49,1,4.695798319327731,4.695798319327731,4.0,0,1,236226.0,30.851491404380763,0.10691956430673599,25
scooter-black:00000:00008,scooter-black,0,8,4,1,4.6873949579831935,4.6873949579831935,4.0,1,0,218516.0,24.4885691478027,0.20375370979309082,26
goat:00040:00048,goat,40,48,46,1,4.650420168067227,4.650420168067227,4.0,0,1,251693.0,27.28725091241753,0.1750091165304184,27
car-roundabout:00008:00016,car-roundabout,8,16,15,1,3.707563025210084,3.707563025210084,3.0,0,1,221694.0,27.508126915916684,0.14075687527656555,28
bmx-trees:00024:00032,bmx-trees,24,32,31,1,3.665546218487395,3.665546218487395,3.0,0,1,250631.0,32.928300295189196,0.09058301895856857,29
goat:00072:00080,goat,72,80,75 78,2,3.6319327731092437,3.6151260504201677,3.0,0,2,247414.5,26.583442735601405,0.17962689697742462,30
camel:00016:00024,camel,16,24,23,1,3.623529411764706,3.623529411764706,3.0,0,1,231360.0,26.20396708007785,0.18039542436599731,31
horsejump-high:00008:00016,horsejump-high,8,16,15,1,3.6201680672268908,3.6201680672268908,3.0,0,0,213145.0,28.119707176231408,0.1598365157842636,32
bike-packing:00040:00048,bike-packing,40,48,46,1,2.6638655462184877,2.6638655462184877,2.0,1,0,211478.0,25.72814190108804,0.19889308512210846,33
car-shadow:00016:00024,car-shadow,16,24,19,1,2.6554621848739495,2.6554621848739495,2.0,0,1,228595.0,29.513743105845474,0.15957248210906982,34
car-shadow:00032:00039,car-shadow,32,39,35,1,2.6436974789915966,2.6436974789915966,2.0,0,1,235640.0,29.85347333277717,0.14318694174289703,35
india:00048:00056,india,48,56,55,1,2.638655462184874,2.638655462184874,2.0,0,1,221399.0,33.84819074179289,0.13918063044548035,36
car-roundabout:00024:00032,car-roundabout,24,32,29,1,2.635294117647059,2.635294117647059,2.0,0,1,222153.0,27.663026726106743,0.14895430207252502,37
libby:00024:00032,libby,24,32,29,1,2.6100840336134454,2.6100840336134454,2.0,0,1,262762.0,32.1395477949241,0.20886823534965515,38
parkour:00032:00040,parkour,32,40,34,1,2.59327731092437,2.59327731092437,2.0,0,1,225453.0,29.05003457774736,0.20909008383750916,39
cows:00056:00064,cows,56,64,60,1,2.5546218487394956,2.5546218487394956,2.0,1,1,231584.0,24.68471859771818,0.20881597697734833,40
parkour:00080:00088,parkour,80,88,87,1,1.6285714285714286,1.6285714285714286,1.0,1,0,218629.0,25.783851442535276,0.20480650663375854,41
dog:00040:00048,dog,40,48,42,1,1.584873949579832,1.584873949579832,1.0,0,1,246464.0,34.10809642200885,0.14015968143939972,42
horsejump-high:00016:00024,horsejump-high,16,24,20,1,1.584873949579832,1.584873949579832,1.0,0,1,226888.0,27.513155614507667,0.207461416721344,43
dance-twirl:00080:00088,dance-twirl,80,88,82,1,1.5697478991596638,1.5697478991596638,1.0,1,0,215387.0,27.389016543533767,0.2247844934463501,44
libby:00016:00024,libby,16,24,17,1,1.5697478991596638,1.5697478991596638,1.0,0,1,245135.0,33.64559264444898,0.1312885582447052,45
dog:00000:00008,dog,0,8,5,1,1.5378151260504203,1.5378151260504203,1.0,0,1,236667.0,32.84204481020986,0.15101756155490875,46
cows:00040:00048,cows,40,48,42,1,1.519327731092437,1.519327731092437,1.0,1,0,215843.0,24.676416846228694,0.21696004271507263,47
car-shadow:00008:00016,car-shadow,8,16,10,1,1.5176470588235293,1.5176470588235293,1.0,0,1,220697.0,29.405388121541595,0.1530119925737381,48
libby:00032:00040,libby,32,40,38,1,1.4991596638655462,1.4991596638655462,1.0,0,1,257000.0,33.00996253806132,0.16725213825702667,49
dance-twirl:00064:00072,dance-twirl,64,72,68,1,1.477310924369748,1.477310924369748,1.0,1,0,212763.0,26.483361587273105,0.2708978056907654,50
kite-surf:00000:00008,kite-surf,0,8,2 6,2,1.4605042016806722,1.4588235294117646,1.0,0,2,224779.0,32.35332219246572,0.09711398929357529,51
cows:00016:00024,cows,16,24,19,1,1.4470588235294117,1.4470588235294117,1.0,1,1,225030.0,24.70318608724209,0.20844119787216187,52
camel:00072:00080,camel,72,80,75,1,1.442016806722689,1.442016806722689,1.0,1,1,244271.0,25.335479237043415,0.1993795931339264,53
camel:00048:00056,camel,48,56,51,1,1.4151260504201681,1.4151260504201681,1.0,1,1,225503.0,25.53339946053153,0.18961508572101593,54
camel:00040:00048,camel,40,48,47,1,1.3798319327731092,1.3798319327731092,1.0,1,1,230502.0,25.6279590122115,0.18633119761943817,55
cows:00008:00016,cows,8,16,15,1,1.361344537815126,1.361344537815126,1.0,1,0,208856.0,24.708306541723843,0.20466454327106476,56
dogs-jump:00008:00016,dogs-jump,8,16,10,1,1.3092436974789916,1.3092436974789916,1.0,0,0,155854.0,31.59162098659429,0.181843563914299,57
drift-chicane:00000:00008,drift-chicane,0,8,6,1,1.1966386554621848,1.1966386554621848,1.0,0,0,124854.0,30.261442307228403,0.18118873238563538,58
drift-chicane:00032:00040,drift-chicane,32,40,35,1,1.1899159663865546,1.1899159663865546,1.0,0,0,108987.0,30.389364799075622,0.17147435247898102,59
