base_method,stage78_rate_method,codec,reference_gap,keep_fraction,side_bits,task_count,q12_main_anchor_mib_per_frame,side_info_mib_per_intermediate_frame,uniform_intermediate_frame_ratio,direct_total_mib_per_frame,amortized_total_mib_per_frame,mean_base_psnr,mean_sideinfo_psnr,mean_delta_psnr_vs_base,positive_delta_count,extra_direct_mib_per_frame,extra_amortized_mib_per_frame,delta_psnr_per_direct_extra_mib,delta_psnr_per_amortized_extra_mib
linear,linear,q12,4,0.1,6,3,0.18193822076791313,0.041353702545166016,0.75,0.22329192331307915,0.21295349767678765,19.98979652819421,23.326992309396783,3.3371957812025705,3,0.041353702545166016,0.03101527690887451,80.69883893848986,107.59845191798648
linear,linear,q12,4,0.1,8,3,0.18193822076791313,0.05277824401855469,0.75,0.23471646478646782,0.22152190378182915,19.98979652819421,23.331521602140384,3.3417250739461744,3,0.05277824401855469,0.039583683013916016,63.316336799143215,84.42178239885762
linear,linear,q12,4,0.25,6,3,0.18193822076791313,0.10332107543945312,0.75,0.28525929620736623,0.25942902734750295,19.98979652819421,26.03558253605736,6.045786007863147,3,0.1033210754394531,0.07749080657958982,58.51454780303774,78.01939707071699
linear,linear,q12,4,0.25,8,3,0.18193822076791313,0.13188552856445312,0.75,0.31382374933236623,0.28085236719125295,19.98979652819421,26.067254183952556,6.077457655758349,3,0.1318855285644531,0.09891414642333982,46.08130794872059,61.44174393162746
linear,linear,q12,8,0.1,6,5,0.09762538675351436,0.041353702545166016,0.875,0.13897908929868036,0.1338098764805346,18.12111775349949,20.94547122800524,2.8243534745057453,5,0.041353702545166,0.03618448972702025,68.29747521206889,78.05425738522159
linear,linear,q12,8,0.1,8,5,0.09762538675351436,0.05277824401855469,0.875,0.15040363077206903,0.1438063502697497,18.12111775349949,20.951419444495667,2.830301690996175,5,0.052778244018554674,0.04618096351623534,53.626295145423114,61.28719445191213
linear,linear,q12,8,0.25,6,5,0.09762538675351436,0.10332107543945312,0.875,0.20094646219296747,0.18803132776303583,18.12111775349949,23.471186559061493,5.350068805562002,5,0.10332107543945311,0.09040594100952147,51.7810019185987,59.17828790696994
linear,linear,q12,8,0.25,8,5,0.09762538675351436,0.13188552856445312,0.875,0.22951091531796747,0.21302522424741083,18.12111775349949,23.48347660597915,5.362358852479657,5,0.13188552856445312,0.11539983749389647,40.65919066972572,46.467646479686536
linear,linear,q12,16,0.1,6,4,0.055468969746314975,0.041353702545166016,0.9375,0.09682267229148099,0.09423806588240811,19.1130149705525,23.589870525188754,4.476855554636258,4,0.041353702545166016,0.03876909613609314,108.25767172230081,115.47484983712087
linear,linear,q12,16,0.1,8,4,0.055468969746314975,0.05277824401855469,0.9375,0.10824721376486966,0.10494857351371,19.1130149705525,23.595823887437923,4.482808916885427,4,0.05277824401855469,0.04947960376739502,84.93668177572283,90.59912722743769
linear,linear,q12,16,0.25,6,4,0.055468969746314975,0.10332107543945312,0.9375,0.15879004518576811,0.1523324779708023,19.1130149705525,25.948424374180128,6.8354094036276285,4,0.10332107543945314,0.09686350822448732,66.15697111702274,70.56743585815758
linear,linear,q12,16,0.25,8,4,0.055468969746314975,0.13188552856445312,0.9375,0.18735449831076811,0.1791116527754898,19.1130149705525,25.95928364840417,6.846268677851672,4,0.13188552856445312,0.12364268302917482,51.910689158787164,55.37140176937297
stage65_adapter,adapter,q12,4,0.1,6,3,0.18193822076791313,0.041353702545166016,0.75,0.22329192331307915,0.21295349767678765,20.48273820637705,23.35258386164915,2.869845655272099,3,0.041353702545166016,0.03101527690887451,69.39755036777392,92.5300671570319
stage65_adapter,adapter,q12,4,0.1,8,3,0.18193822076791313,0.05277824401855469,0.75,0.23471646478646782,0.22152190378182915,20.48273820637705,23.3592585549238,2.8765203485467516,3,0.05277824401855469,0.039583683013916016,54.5020093418698,72.66934578915973
stage65_adapter,adapter,q12,4,0.25,6,3,0.18193822076791313,0.10332107543945312,0.75,0.28525929620736623,0.25942902734750295,20.48273820637705,25.295131804063356,4.8123935976863,3,0.1033210754394531,0.07749080657958982,46.577076140737596,62.10276818765013
stage65_adapter,adapter,q12,4,0.25,8,3,0.18193822076791313,0.13188552856445312,0.75,0.31382374933236623,0.28085236719125295,20.48273820637705,25.30930692470965,4.826568718332599,3,0.1318855285644531,0.09891414642333982,36.596651436050706,48.79553524806761
stage65_adapter,adapter,q12,8,0.1,6,5,0.09762538675351436,0.041353702545166016,0.875,0.13897908929868036,0.1338098764805346,18.532358493984642,20.943546028225864,2.411187534241218,5,0.041353702545166,0.03618448972702025,58.30644865735417,66.63594132269048
stage65_adapter,adapter,q12,8,0.1,8,5,0.09762538675351436,0.05277824401855469,0.875,0.15040363077206903,0.1438063502697497,18.532358493984642,20.94423484029644,2.4118763463117925,5,0.052778244018554674,0.04618096351623534,45.69830601912173,52.22663545042484
stage65_adapter,adapter,q12,8,0.25,6,5,0.09762538675351436,0.10332107543945312,0.875,0.20094646219296747,0.18803132776303583,18.532358493984642,22.856351348718874,4.323992854734231,5,0.10332107543945311,0.09040594100952147,41.85005659632454,47.82863611008519
stage65_adapter,adapter,q12,8,0.25,8,5,0.09762538675351436,0.13188552856445312,0.875,0.22951091531796747,0.21302522424741083,18.532358493984642,22.863306601164446,4.3309481071797995,5,0.13188552856445312,0.11539983749389647,32.8386909035531,37.52993246120355
stage65_adapter,adapter,q12,16,0.1,6,4,0.055468969746314975,0.041353702545166016,0.9375,0.09682267229148099,0.09423806588240811,19.075010088585586,22.481910804608162,3.406900716022574,4,0.041353702545166016,0.03876909613609314,82.38441799259928,87.87671252543923
stage65_adapter,adapter,q12,16,0.1,8,4,0.055468969746314975,0.05277824401855469,0.9375,0.10824721376486966,0.10494857351371,19.075010088585586,22.487897469403208,3.412887380817623,4,0.05277824401855469,0.04947960376739502,64.66466333396372,68.9756408895613
stage65_adapter,adapter,q12,16,0.25,6,4,0.055468969746314975,0.10332107543945312,0.9375,0.15879004518576811,0.1523324779708023,19.075010088585586,24.477412446587934,5.40240235800235,4,0.10332107543945314,0.09686350822448732,52.287515736982385,55.773350119447876
stage65_adapter,adapter,q12,16,0.25,8,4,0.055468969746314975,0.13188552856445312,0.9375,0.18735449831076811,0.1791116527754898,19.075010088585586,24.495531332837523,5.420521244251937,4,0.13188552856445312,0.12364268302917482,41.10019729422323,43.840210447171444
